Region|Month of Period End|Median Sale Price|Homes Sold|New Listings|Days on Market
Saratoga|Aug-16|$1,963K|40|41|25
Saratoga|Sep-16|$1,956K|43|45|35
Saratoga|Oct-16|$2,300K|25|27|23
Saratoga|Nov-16|$2,380K|47|20|49
Saratoga|Dec-16|$2,100K|25|8|48
Saratoga|Jan-17|$1,963K|14|30|44
Saratoga|Feb-17|$2,375K|23|36|16
Saratoga|Mar-17|$2,060K|27|49|16
Saratoga|Apr-17|$2,414K|34|44|12
Saratoga|May-17|$2,600K|47|57|15
Saratoga|Jun-17|$2,295K|40|28|16
Saratoga|Jul-17|$2,300K|39|40|27
Saratoga|Aug-17|$2,320K|37|39|13
Saratoga|Sep-17|$2,045K|36|37|16
Saratoga|Oct-17|$2,277K|35|39|20
Saratoga|Nov-17|$2,300K|31|24|15
Saratoga|Dec-17|$2,420K|28|15|16
Saratoga|Jan-18|$2,320K|14|22|13
Saratoga|Feb-18|$3,250K|17|32|34
Saratoga|Mar-18|$2,660K|34|46|11
Saratoga|Apr-18|$2,450K|34|40|14
Saratoga|May-18|$2,500K|37|55|12
Saratoga|Jun-18|$2,775K|38|49|12
Saratoga|Jul-18|$2,603K|28|45|22
Saratoga|Aug-18|$2,550K|34|27|25
Saratoga|Sep-18|$2,865K|26|39|23
Saratoga|Oct-18|$2,600K|29|27|18
Saratoga|Nov-18|$2,350K|25|11|49
Saratoga|Dec-18|$2,430K|22|6|57
Saratoga|Jan-19|$2,380K|10|37|46
Saratoga|Feb-19|$2,195K|16|30|20
Saratoga|Mar-19|$2,520K|19|54|17
Saratoga|Apr-19|$2,887K|36|62|33
Saratoga|May-19|$2,390K|51|49|20
Saratoga|Jun-19|$2,880K|33|45|25
Saratoga|Jul-19|$2,350K|41|33|27
Saratoga|Aug-19|$2,460K|30|34|56
Saratoga|Sep-19|$2,465K|24|32|21
Saratoga|Oct-19|$2,458K|35|34|49
Saratoga|Nov-19|$2,400K|23|15|34
Saratoga|Dec-19|$2,588K|24|9|34
Saratoga|Jan-20|$1,900K|20|18|35
Saratoga|Feb-20|$2,453K|23|50|60
Saratoga|Mar-20|$2,304K|20|29|12
Saratoga|Apr-20|$2,213K|24|14|10
Saratoga|May-20|$2,200K|19|35|28
Saratoga|Jun-20|$2,590K|29|44|27
Saratoga|Jul-20|$2,650K|49|33|20
Saratoga|Aug-20|$2,850K|29|31|13
Saratoga|Sep-20|$2,967K|32|40|20
Saratoga|Oct-20|$2,855K|30|49|10
Saratoga|Nov-20|$2,838K|36|23|9
Saratoga|Dec-20|$3,100K|27|18|33
Saratoga|Jan-21|$2,775K|25|36|31
Saratoga|Feb-21|$2,882K|32|40|17
Saratoga|Mar-21|$3,128K|40|52|12
Saratoga|Apr-21|$2,790K|52|71|10
Saratoga|May-21|$3,405K|51|54|11
Saratoga|Jun-21|$3,113K|58|44|13
Saratoga|Jul-21|$2,816K|42|52|9
Saratoga|Aug-21|$3,363K|44|42|13
Saratoga|Sep-21|$3,475K|45|47|10
Saratoga|Oct-21|$3,366K|43|34|12
Saratoga|Nov-21|$2,825K|39|12|13
Saratoga|Dec-21|$3,479K|24|9|17
Saratoga|Jan-22|$4,209K|9|22|18
Saratoga|Feb-22|$3,150K|21|37|10
Saratoga|Mar-22|$3,475K|36|45|8
Sunnyvale|Feb-12|$561K|79|68|23
Sunnyvale|Mar-12|$539K|80|107|14
Sunnyvale|Apr-12|$675K|107|100|13
Sunnyvale|May-12|$723K|122|121|10
Sunnyvale|Jun-12|$795K|102|116|10
Sunnyvale|Jul-12|$702K|106|108|9
Sunnyvale|Aug-12|$700K|123|108|9
Sunnyvale|Sep-12|$839K|96|96|9
Sunnyvale|Oct-12|$730K|100|92|11
Sunnyvale|Nov-12|$690K|80|60|10
Sunnyvale|Dec-12|$865K|73|39|11
Sunnyvale|Jan-13|$680K|44|71|10
Sunnyvale|Feb-13|$683K|58|76|9
Sunnyvale|Mar-13|$780K|90|124|9
Sunnyvale|Apr-13|$730K|132|134|9
Sunnyvale|May-13|$805K|116|137|9
Sunnyvale|Jun-13|$839K|94|149|9
Sunnyvale|Jul-13|$828K|126|139|11
Sunnyvale|Aug-13|$760K|138|122|10
Sunnyvale|Sep-13|$847K|110|94|10
Sunnyvale|Oct-13|$793K|98|88|12
Sunnyvale|Nov-13|$784K|82|55|12
Sunnyvale|Dec-13|$860K|75|26|13
Sunnyvale|Jan-14|$740K|37|62|10
Sunnyvale|Feb-14|$830K|53|82|10
Sunnyvale|Mar-14|$903K|77|83|9
Sunnyvale|Apr-14|$887K|88|131|9
Sunnyvale|May-14|$928K|100|111|10
Sunnyvale|Jun-14|$908K|92|117|10
Sunnyvale|Jul-14|$915K|109|121|9
Sunnyvale|Aug-14|$896K|125|95|9
Sunnyvale|Sep-14|$920K|95|97|12
Sunnyvale|Oct-14|$962K|92|99|11
Sunnyvale|Nov-14|$899K|78|60|13
Sunnyvale|Dec-14|$955K|79|26|12
Sunnyvale|Jan-15|$925K|45|57|12
Sunnyvale|Feb-15|$1,039K|47|91|8
Sunnyvale|Mar-15|$1,051K|85|100|8
Sunnyvale|Apr-15|$1,225K|105|145|9
Sunnyvale|May-15|$1,170K|111|112|9
Sunnyvale|Jun-15|$1,225K|95|115|9
Sunnyvale|Jul-15|$1,180K|113|115|10
Sunnyvale|Aug-15|$1,195K|92|106|11
Sunnyvale|Sep-15|$1,100K|83|108|12
Sunnyvale|Oct-15|$1,080K|81|71|14
Sunnyvale|Nov-15|$1,028K|83|52|15
Sunnyvale|Dec-15|$1,148K|74|23|20
Sunnyvale|Jan-16|$1,024K|40|71|26
Sunnyvale|Feb-16|$1,152K|38|78|12
Sunnyvale|Mar-16|$1,200K|85|141|10
Sunnyvale|Apr-16|$1,151K|120|116|9
Sunnyvale|May-16|$1,170K|111|107|11
Sunnyvale|Jun-16|$1,375K|95|112|13
Sunnyvale|Jul-16|$1,268K|87|105|14
Sunnyvale|Aug-16|$1,066K|89|79|19
Sunnyvale|Sep-16|$1,225K|91|110|22
Sunnyvale|Oct-16|$1,218K|84|68|18
Sunnyvale|Nov-16|$1,350K|77|71|18
Sunnyvale|Dec-16|$1,270K|71|20|17
Sunnyvale|Jan-17|$1,255K|44|51|15
Sunnyvale|Feb-17|$1,430K|42|71|9
Sunnyvale|Mar-17|$1,338K|78|121|9
Sunnyvale|Apr-17|$1,409K|92|109|9
Sunnyvale|May-17|$1,578K|122|117|9
Sunnyvale|Jun-17|$1,415K|111|94|8
Sunnyvale|Jul-17|$1,335K|106|97|9
Sunnyvale|Aug-17|$1,377K|100|78|8
Sunnyvale|Sep-17|$1,351K|82|95|10
Sunnyvale|Oct-17|$1,450K|99|78|9
Sunnyvale|Nov-17|$1,600K|75|63|9
Sunnyvale|Dec-17|$1,631K|58|38|8
Sunnyvale|Jan-18|$1,685K|51|66|8
Sunnyvale|Feb-18|$1,691K|48|72|9
Sunnyvale|Mar-18|$1,700K|83|119|8
Sunnyvale|Apr-18|$1,753K|102|136|9
Sunnyvale|May-18|$1,725K|118|126|9
Sunnyvale|Jun-18|$1,670K|91|111|9
Sunnyvale|Jul-18|$1,509K|92|109|11
Sunnyvale|Aug-18|$1,600K|106|109|14
Sunnyvale|Sep-18|$1,530K|83|120|15
Sunnyvale|Oct-18|$1,530K|86|114|13
Sunnyvale|Nov-18|$1,524K|88|48|20
Sunnyvale|Dec-18|$1,450K|53|16|23
Sunnyvale|Jan-19|$1,530K|21|61|28
Sunnyvale|Feb-19|$1,416K|48|95|22
Sunnyvale|Mar-19|$1,550K|79|111|16
Sunnyvale|Apr-19|$1,581K|98|132|12
Sunnyvale|May-19|$1,528K|103|164|13
Sunnyvale|Jun-19|$1,584K|100|78|16
Sunnyvale|Jul-19|$1,500K|83|79|22
Sunnyvale|Aug-19|$1,483K|83|79|31
Sunnyvale|Sep-19|$1,575K|62|99|25
Sunnyvale|Oct-19|$1,498K|90|101|17
Sunnyvale|Nov-19|$1,505K|78|48|15
Sunnyvale|Dec-19|$1,568K|61|25|20
Sunnyvale|Jan-20|$1,450K|32|54|38
Sunnyvale|Feb-20|$1,319K|48|76|14
Sunnyvale|Mar-20|$1,719K|71|86|9
Sunnyvale|Apr-20|$1,698K|48|73|9
Sunnyvale|May-20|$1,762K|57|89|15
Sunnyvale|Jun-20|$1,805K|66|109|18
Sunnyvale|Jul-20|$1,640K|105|103|13
Sunnyvale|Aug-20|$1,690K|85|108|13
Sunnyvale|Sep-20|$1,425K|83|129|9
Sunnyvale|Oct-20|$1,685K|99|135|13
Sunnyvale|Nov-20|$1,450K|103|68|12
Sunnyvale|Dec-20|$1,478K|88|60|20
Sunnyvale|Jan-21|$1,598K|68|113|28
Sunnyvale|Feb-21|$1,405K|65|126|15
Sunnyvale|Mar-21|$1,588K|138|144|11
Sunnyvale|Apr-21|$1,530K|139|158|10
Sunnyvale|May-21|$1,694K|126|144|9
Sunnyvale|Jun-21|$1,691K|151|157|10
Sunnyvale|Jul-21|$1,700K|122|138|9
Sunnyvale|Aug-21|$1,551K|121|131|10
Sunnyvale|Sep-21|$1,655K|118|131|11
Sunnyvale|Oct-21|$1,705K|138|106|9
Sunnyvale|Nov-21|$1,631K|117|73|10
Sunnyvale|Dec-21|$1,683K|106|39|11
Sunnyvale|Jan-22|$1,682K|64|91|9
Sunnyvale|Feb-22|$1,780K|67|130|8
Sunnyvale|Mar-22|$1,811K|119|149|8
